llm_prompt_20250411_192836_148141.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192836_230674.txt: RL=bet, LLM=bet, Match=True
llm_prompt_20250411_192836_323931.txt: RL=check, LLM=bet, Match=False
llm_prompt_20250411_192836_456813.txt: RL=check, LLM=fold, Match=False
llm_prompt_20250411_192836_554873.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192836_641686.txt: RL=check, LLM=bet, Match=False
llm_prompt_20250411_192836_739726.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192836_821552.txt: RL=raise, LLM=bet, Match=False
llm_prompt_20250411_192836_905434.txt: RL=check, LLM=bet, Match=False
llm_prompt_20250411_192836_999219.txt: RL=check, LLM=raise, Match=False
llm_prompt_20250411_192837_100638.txt: RL=check, LLM=bet, Match=False
llm_prompt_20250411_192837_189596.txt: RL=check, LLM=raise, Match=False
llm_prompt_20250411_192837_270208.txt: RL=check, LLM=raise, Match=False
llm_prompt_20250411_192837_354037.txt: RL=check, LLM=raise, Match=False
llm_prompt_20250411_192837_439048.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192837_558327.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192837_641957.txt: RL=raise, LLM=bet, Match=False
llm_prompt_20250411_192837_724767.txt: RL=raise, LLM=raise, Match=True
llm_prompt_20250411_192837_806446.txt: RL=bet, LLM=bet, Match=True
llm_prompt_20250411_192837_908719.txt: RL=check, LLM=fold, Match=False
llm_prompt_20250411_192838_008189.txt: RL=call, LLM=fold, Match=False
llm_prompt_20250411_192838_089860.txt: RL=check, LLM=fold, Match=False
llm_prompt_20250411_192838_188073.txt: RL=raise, LLM=fold, Match=False
llm_prompt_20250411_192838_273702.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192838_365435.txt: RL=check, LLM=fold, Match=False
llm_prompt_20250411_192838_447037.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192838_528528.txt: RL=raise, LLM=bet, Match=False
llm_prompt_20250411_192838_614255.txt: RL=check, LLM=bet, Match=False
llm_prompt_20250411_192838_696440.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192838_787784.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192838_898593.txt: RL=check, LLM=raise, Match=False
llm_prompt_20250411_192838_986251.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192839_083009.txt: RL=bet, LLM=fold, Match=False
llm_prompt_20250411_192839_275053.txt: RL=bet, LLM=raise, Match=False
llm_prompt_20250411_192839_393012.txt: RL=check, LLM=raise, Match=False
llm_prompt_20250411_192839_475844.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192839_557484.txt: RL=bet, LLM=bet, Match=True
llm_prompt_20250411_192839_665495.txt: RL=bet, LLM=fold, Match=False
llm_prompt_20250411_192839_753442.txt: RL=check, LLM=fold, Match=False
llm_prompt_20250411_192839_836722.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192839_930561.txt: RL=check, LLM=raise, Match=False
llm_prompt_20250411_192840_020901.txt: RL=bet, LLM=raise, Match=False
llm_prompt_20250411_192840_130961.txt: RL=check, LLM=raise, Match=False
llm_prompt_20250411_192840_213535.txt: RL=raise, LLM=raise, Match=True
llm_prompt_20250411_192840_295926.txt: RL=bet, LLM=raise, Match=False
llm_prompt_20250411_192840_387895.txt: RL=bet, LLM=fold, Match=False
llm_prompt_20250411_192840_480424.txt: RL=check, LLM=raise, Match=False
llm_prompt_20250411_192840_562041.txt: RL=bet, LLM=raise, Match=False
llm_prompt_20250411_192840_656636.txt: RL=check, LLM=fold, Match=False
llm_prompt_20250411_192840_752772.txt: RL=bet, LLM=raise, Match=False
llm_prompt_20250411_192840_839116.txt: RL=bet, LLM=fold, Match=False
llm_prompt_20250411_192840_930819.txt: RL=raise, LLM=fold, Match=False
llm_prompt_20250411_192841_020913.txt: RL=raise, LLM=fold, Match=False
llm_prompt_20250411_192841_116860.txt: RL=bet, LLM=fold, Match=False
llm_prompt_20250411_192841_212313.txt: RL=check, LLM=fold, Match=False
llm_prompt_20250411_192841_300449.txt: RL=raise, LLM=fold, Match=False
llm_prompt_20250411_192841_395395.txt: RL=bet, LLM=bet, Match=True
llm_prompt_20250411_192841_502577.txt: RL=call, LLM=fold, Match=False
llm_prompt_20250411_192841_603998.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192841_690914.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192841_792987.txt: RL=call, LLM=fold, Match=False
llm_prompt_20250411_192841_877221.txt: RL=raise, LLM=bet, Match=False
llm_prompt_20250411_192841_965304.txt: RL=call, LLM=fold, Match=False
llm_prompt_20250411_192842_066284.txt: RL=raise, LLM=fold, Match=False
llm_prompt_20250411_192842_148766.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192842_230655.txt: RL=raise, LLM=bet, Match=False
llm_prompt_20250411_192842_339447.txt: RL=raise, LLM=fold, Match=False
llm_prompt_20250411_192842_429026.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192842_514152.txt: RL=check, LLM=bet, Match=False
llm_prompt_20250411_192842_597665.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192842_702420.txt: RL=bet, LLM=bet, Match=True
llm_prompt_20250411_192842_791406.txt: RL=raise, LLM=raise, Match=True
llm_prompt_20250411_192842_878135.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192842_965541.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250411_192843_052066.txt: RL=bet, LLM=bet, Match=True
llm_prompt_20250411_192843_154713.txt: RL=check, LLM=raise, Match=False
llm_prompt_20250411_192843_237549.txt: RL=raise, LLM=raise, Match=True

---
Total Comparisons: 77
Matching Decisions: 10
Agreement Rate: 12.99%
