llm_prompt_20250418_193757_817795.txt: RL=raise, LLM=fold, Match=False
llm_prompt_20250418_215319_917315.txt: RL=raise, LLM=raise, Match=True
llm_prompt_20250418_215324_637799.txt: RL=bet, LLM=bet, Match=True
llm_prompt_20250418_215329_875459.txt: RL=raise, LLM=bet, Match=False
llm_prompt_20250418_215335_212145.txt: RL=bet, LLM=bet, Match=True
llm_prompt_20250418_215340_106837.txt: RL=raise, LLM=raise, Match=True
llm_prompt_20250418_215344_500253.txt: RL=raise, LLM=raise, Match=True
llm_prompt_20250418_215350_237078.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250418_215356_517947.txt: RL=bet, LLM=bet, Match=True
llm_prompt_20250418_215401_455960.txt: RL=bet, LLM=fold, Match=False
llm_prompt_20250418_215406_089937.txt: RL=call, LLM=fold, Match=False
llm_prompt_20250418_215410_362270.txt: RL=bet, LLM=fold, Match=False
llm_prompt_20250418_215414_883213.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250418_215419_144174.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250418_215423_584150.txt: RL=raise, LLM=bet, Match=False
llm_prompt_20250418_215427_972998.txt: RL=call, LLM=fold, Match=False
llm_prompt_20250418_215432_400113.txt: RL=check, LLM=bet, Match=False
llm_prompt_20250418_215436_700259.txt: RL=bet, LLM=bet, Match=True
llm_prompt_20250418_215441_377481.txt: RL=raise, LLM=raise, Match=True
llm_prompt_20250418_215446_136250.txt: RL=bet, LLM=fold, Match=False
llm_prompt_20250418_215451_291899.txt: RL=bet, LLM=fold, Match=False
llm_prompt_20250418_215455_344966.txt: RL=raise, LLM=raise, Match=True
llm_prompt_20250418_215459_611330.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250418_215504_893342.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250418_215510_155094.txt: RL=check, LLM=fold, Match=False
llm_prompt_20250418_215513_840779.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250418_215518_909043.txt: RL=check, LLM=fold, Match=False
llm_prompt_20250418_215524_115913.txt: RL=check, LLM=bet, Match=False
llm_prompt_20250418_215528_302208.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250418_215533_325318.txt: RL=call, LLM=fold, Match=False
llm_prompt_20250418_215537_726354.txt: RL=check, LLM=fold, Match=False
llm_prompt_20250418_215541_196285.txt: RL=call, LLM=fold, Match=False
llm_prompt_20250418_215545_391575.txt: RL=call, LLM=fold, Match=False
llm_prompt_20250418_215549_429132.txt: RL=raise, LLM=raise, Match=True
llm_prompt_20250418_215553_782144.txt: RL=call, LLM=bet, Match=False
llm_prompt_20250418_215558_786124.txt: RL=bet, LLM=bet, Match=True
llm_prompt_20250418_215603_892838.txt: RL=bet, LLM=raise, Match=False
Matching Decisions: 11
Agreement Rate: 29.73%
